Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
eil51,51,Christofides,473.8043991033243,0.011328,57.2890625,1.11
berlin52,52,Christofides,8530.003701414455,0.010532,58.0390625,1.13
st70,70,Christofides,748.1037914962235,0.026513,59.0390625,1.11
eil76,76,Christofides,616.3497939410645,0.036698,59.9140625,1.15
pr76,76,Christofides,112162.20873441538,0.016537,60.4140625,1.04
rat99,99,Christofides,1350.4319787224756,0.038738,62.2890625,1.12
kroA100,100,Christofides,22990.432181602817,0.048715,62.2890625,1.08
kroB100,100,Christofides,23859.69862291333,0.037074,62.4140625,1.08
kroC100,100,Christofides,23253.258304489744,0.05023,63.6640625,1.12
kroD100,100,Christofides,23237.34445402607,0.049783,65.2890625,1.09
kroE100,100,Christofides,23595.67123532423,0.066572,65.921875,1.07
rd100,100,Christofides,8817.76306549462,0.08621,66.421875,1.11
eil101,101,Christofides,716.672870256259,0.070135,66.546875,1.14
lin105,105,Christofides,16292.675799681514,0.052547,66.546875,1.13
pr107,107,Christofides,47494.18468460625,0.038653,66.546875,1.07
pr124,124,Christofides,64125.69864117384,0.030264,66.546875,1.09
bier127,127,Christofides,132038.0020423744,0.132944,66.546875,1.12
ch130,130,Christofides,6687.004569175432,0.070981,67.22265625,1.09
pr136,136,Christofides,102771.61182382496,0.029823,67.22265625,1.06
pr144,144,Christofides,70101.14297060766,0.03142,67.47265625,1.2
ch150,150,Christofides,7090.9970964831855,0.080701,67.47265625,1.09
kroA150,150,Christofides,29400.229548638436,0.17551,68.47265625,1.11
kroB150,150,Christofides,29838.51484633528,0.184198,69.34765625,1.14
pr152,152,Christofides,77591.40844650491,0.028312,69.34765625,1.05
u159,159,Christofides,46881.716326240356,0.102833,68.5546875,1.11
rat195,195,Christofides,2597.0952220519634,0.224815,71.0546875,1.12
d198,198,Christofides,15667.940767319324,0.255833,69.16015625,0.99
kroA200,200,Christofides,33413.60208129192,0.350088,71.78515625,1.14
kroB200,200,Christofides,32768.84047256104,0.266899,72.53515625,1.11
ts225,225,Christofides,133782.1703627935,0.05933,76.28515625,1.06
tsp225,225,Christofides,4347.502889600349,0.251189,76.28515625,1.11
pr226,226,Christofides,91004.51199210256,0.197392,74.70703125,1.13
gil262,262,Christofides,2682.6243630467384,0.569747,78.109375,1.13
pr264,264,Christofides,54563.602434274835,0.197744,80.703125,1.11
a280,280,Christofides,2942.129931577734,0.466497,80.5078125,1.14
pr299,299,Christofides,51848.540372197946,0.60489,84.12890625,1.08
lin318,318,Christofides,47228.75653586447,0.774428,87.41796875,1.12
linhp318,318,Christofides,47228.75653586447,0.791065,89.25,1.14
rd400,400,Christofides,17475.13519685324,2.40337,97.46875,1.14
fl417,417,Christofides,13302.723353556174,1.001108,101.73046875,1.12
pr439,439,Christofides,119282.0359030051,1.038282,99.1328125,1.11
pcb442,442,Christofides,54211.0882139463,1.877342,101.0625,1.07
d493,493,Christofides,36479.27673045965,3.151316,111.953125,1.04
u574,574,Christofides,41302.30942669226,5.220933,120.4609375,1.12
rat575,575,Christofides,7784.0676533262285,5.797693,129.01953125,1.15
p654,654,Christofides,38660.95929046208,1.077619,139.17578125,1.12
d657,657,Christofides,53376.3510719868,7.792944,139.60546875,1.09
u724,724,Christofides,47802.28239762277,10.642869,164.4921875,1.14
rat783,783,Christofides,10077.320667040882,15.125581,187.33984375,1.14
pr1002,1002,Christofides,283814.4207008012,23.155785,254.8046875,1.1
u1060,1060,Christofides,248950.3758304191,31.251033,280.97265625,1.11
vm1084,1084,Christofides,260391.89952398586,16.159475,294.171875,1.09
pcb1173,1173,Christofides,63159.43218218887,28.579023,325.90234375,1.11
d1291,1291,Christofides,56658.00199754335,8.296777,375.5078125,1.12
rl1304,1304,Christofides,277903.1931053025,8.4374,374.4921875,1.1
rl1323,1323,Christofides,297922.1611593825,8.701786,387.98828125,1.1
nrw1379,1379,Christofides,63811.529764543724,103.313103,461.546875,1.13
fl1400,1400,Christofides,22609.855984513764,95.632003,495.94140625,1.12
u1432,1432,Christofides,171658.08218860067,33.697186,521.87890625,1.12
fl1577,1577,Christofides,24497.174654031944,20.638395,576.0703125,1.1
d1655,1655,Christofides,69032.15050664118,40.12657,625.80078125,1.11
vm1748,1748,Christofides,375577.8042177919,60.535866,693.4375,1.12
u1817,1817,Christofides,66595.82536491855,46.653498,729.5703125,1.16
rl1889,1889,Christofides,344217.35856791795,25.532212,799.1796875,1.09
d2103,2103,Christofides,83409.10879076687,8.243394,942.25,1.04
u2152,2152,Christofides,73816.1435683086,67.440028,983.3046875,1.15
u2319,2319,Christofides,272442.9082569911,254.7901,1135.98828125,1.16
pr2392,2392,Christofides,424859.9110514417,228.222265,1185.49609375,1.12
pcb3038,3038,Christofides,154179.8583439823,486.24397,1924.96484375,1.12
fl3795,3795,Christofides,30994.315422814772,473.029609,2939.32421875,1.08
fnl4461,4461,Christofides,206149.12095385604,2040.316232,3967.4609375,1.13
rl5915,5915,Christofides,617080.5109354067,304.536372,6378.37109375,1.09
eil51,51,Twice Around the Tree,752.9811180392962,0.003607,56.953125,1.77
berlin52,52,Twice Around the Tree,12163.261083281763,0.002964,57.578125,1.61
st70,70,Twice Around the Tree,1132.4138856166533,0.005359,58.328125,1.68
eil76,76,Twice Around the Tree,944.6613585291241,0.00661,58.953125,1.76
pr76,76,Twice Around the Tree,174435.5986281863,0.005361,59.703125,1.61
rat99,99,Twice Around the Tree,2229.46035079504,0.008382,61.328125,1.84
kroA100,100,Twice Around the Tree,37544.34640840174,0.008685,61.828125,1.76
kroB100,100,Twice Around the Tree,38513.919067745774,0.008935,62.203125,1.74
kroC100,100,Twice Around the Tree,36804.647617814626,0.00866,63.203125,1.77
kroD100,100,Twice Around the Tree,37193.43128017248,0.008883,64.703125,1.75
kroE100,100,Twice Around the Tree,38448.79012758631,0.009158,66.078125,1.74
rd100,100,Twice Around the Tree,13926.548640416868,0.009534,66.078125,1.76
eil101,101,Twice Around the Tree,1124.5145244224475,0.009302,66.078125,1.79
lin105,105,Twice Around the Tree,26120.885288625614,0.010002,66.078125,1.82
pr107,107,Twice Around the Tree,69514.92767519629,0.010566,66.078125,1.57
pr124,124,Twice Around the Tree,101070.9462612498,0.013376,66.01171875,1.71
bier127,127,Twice Around the Tree,189435.2285537435,0.015075,66.01171875,1.6
ch130,130,Twice Around the Tree,10328.105599922026,0.015261,66.26171875,1.69
pr136,136,Twice Around the Tree,177932.35452113333,0.01576,66.26171875,1.84
pr144,144,Twice Around the Tree,98928.91001854536,0.017215,67.01171875,1.69
ch150,150,Twice Around the Tree,11761.911661719738,0.019515,67.01171875,1.8
kroA150,150,Twice Around the Tree,47114.79534148968,0.023792,67.13671875,1.78
kroB150,150,Twice Around the Tree,45608.43396933002,0.022474,67.13671875,1.75
pr152,152,Twice Around the Tree,118336.89296684194,0.022194,68.01171875,1.61
u159,159,Twice Around the Tree,74309.11476881456,0.023082,68.01171875,1.77
rat195,195,Twice Around the Tree,4329.58663098563,0.033492,70.38671875,1.86
d198,198,Twice Around the Tree,23534.22900884072,0.032994,71.13671875,1.49
kroA200,200,Twice Around the Tree,51865.16786521273,0.033956,71.13671875,1.77
kroB200,200,Twice Around the Tree,52407.30866768744,0.033262,71.13671875,1.78
ts225,225,Twice Around the Tree,224000.0,0.042495,72.09375,1.77
tsp225,225,Twice Around the Tree,7031.400469472143,0.043466,72.97265625,1.79
pr226,226,Twice Around the Tree,137279.9195455958,0.040397,73.42578125,1.71
gil262,262,Twice Around the Tree,4206.217170816099,0.101546,76.09765625,1.77
pr264,264,Twice Around the Tree,82284.48527031398,0.058465,78.890625,1.67
a280,280,Twice Around the Tree,4877.133481924452,0.102816,78.375,1.89
pr299,299,Twice Around the Tree,84986.47217959746,0.122196,83.0546875,1.76
lin318,318,Twice Around the Tree,75837.73219163908,0.133182,84.42578125,1.8
linhp318,318,Twice Around the Tree,75837.73219163908,0.124816,86.4453125,1.83
rd400,400,Twice Around the Tree,27263.48287754133,0.188114,95.4296875,1.78
fl417,417,Twice Around the Tree,20425.59373775439,0.192016,103.5859375,1.72
pr439,439,Twice Around the Tree,184387.8079685624,0.213695,100.3125,1.72
pcb442,442,Twice Around the Tree,92724.78106330859,0.222897,109.2421875,1.83
d493,493,Twice Around the Tree,58569.10196601602,0.313283,107.48046875,1.67
u574,574,Twice Around the Tree,64213.67365816696,0.38849,130.19921875,1.74
rat575,575,Twice Around the Tree,12524.853343776509,0.406506,121.40234375,1.85
p654,654,Twice Around the Tree,58912.78492877277,0.545358,145.0703125,1.7
d657,657,Twice Around the Tree,84981.21231163216,0.591872,140.390625,1.74
u724,724,Twice Around the Tree,75949.21740022718,0.683248,168.72265625,1.81
rat783,783,Twice Around the Tree,16306.502817436709,0.800806,185.66796875,1.85
pr1002,1002,Twice Around the Tree,448428.9365359385,1.402019,253.1953125,1.73
u1060,1060,Twice Around the Tree,390903.63165586925,1.634515,278.0703125,1.74
vm1084,1084,Twice Around the Tree,418471.92735387234,1.747797,287.91796875,1.75
pcb1173,1173,Twice Around the Tree,102919.72636295529,2.079314,320.890625,1.81
d1291,1291,Twice Around the Tree,94579.2086287988,2.591871,376.10546875,1.86
rl1304,1304,Twice Around the Tree,445678.12004308583,2.747486,384.3671875,1.76
rl1323,1323,Twice Around the Tree,479949.87430766475,2.84531,393.7265625,1.78
nrw1379,1379,Twice Around the Tree,104026.38959048288,3.136494,460.15234375,1.84
fl1400,1400,Twice Around the Tree,34039.06182736715,3.01457,485.28515625,1.69
u1432,1432,Twice Around the Tree,291957.16889079695,3.084671,503.140625,1.91
fl1577,1577,Twice Around the Tree,38836.561166785155,4.012143,572.98828125,1.75
d1655,1655,Twice Around the Tree,113900.30718002096,4.472685,630.8828125,1.83
vm1748,1748,Twice Around the Tree,589221.9538036606,5.26014,686.22265625,1.75
u1817,1817,Twice Around the Tree,109810.73737503335,5.453863,744.9296875,1.92
rl1889,1889,Twice Around the Tree,556515.0891141638,6.064929,792.35546875,1.76
d2103,2103,Twice Around the Tree,152601.23946063413,7.812736,937.703125,1.9
u2152,2152,Twice Around the Tree,124479.49457221612,8.196344,1000.7890625,1.94
u2319,2319,Twice Around the Tree,464400.0,8.945087,1128.88671875,1.98
pr2392,2392,Twice Around the Tree,684618.4758045906,10.43625,1217.20703125,1.81
pcb3038,3038,Twice Around the Tree,254817.51311738946,16.049802,1974.37890625,1.85
fl3795,3795,Twice Around the Tree,50123.83470914594,23.94998,2907.37890625,1.74
fnl4461,4461,Twice Around the Tree,337444.4741820016,36.004939,3951.53515625,1.85
rl5915,5915,Twice Around the Tree,1043683.473231669,73.058794,6326.98046875,1.85
rl5934,5934,Twice Around the Tree,1027908.4969323836,73.798557,6380.2578125,1.85
